jahr,direction,value
1950,emigration,78148
1950,immigration,96140
1951,emigration,126071
1951,immigration,88349
1952,emigration,135796
1952,immigration,88089
1953,emigration,122264
1953,immigration,101599
1954,emigration,136212
1954,immigration,111490
1955,emigration,136977
1955,immigration,127921
1956,emigration,168101
1956,immigration,159086
1957,emigration,173171
1957,immigration,200142
1958,emigration,161865
1958,immigration,212520
1959,emigration,178864
1959,immigration,227600
1960,emigration,218574
1960,immigration,395016
1961,emigration,266536
1961,immigration,489423
1962,emigration,326339
1962,immigration,566465
1963,emigration,426767
1963,immigration,576951
1964,emigration,457767
1964,immigration,698609
1965,emigration,489503
1965,immigration,791737
1966,emigration,608775
1966,immigration,702337
1967,emigration,604211
1967,immigration,398403
1968,emigration,404301
1968,immigration,657513
1969,emigration,436685
1969,immigration,980731
1970,emigration,495675
1970,immigration,1042760
1971,emigration,554280
1971,immigration,936349
1972,emigration,568610
1972,immigration,852549
1973,emigration,580019
1973,immigration,932583
1974,emigration,635613
1974,immigration,601013
1975,emigration,652966
1975,immigration,429064
1976,emigration,569133
1976,immigration,476286
1977,emigration,505696
1977,immigration,522611
1978,emigration,458769
1978,immigration,559620
1979,emigration,419091
1979,immigration,649832
1980,emigration,439571
1980,immigration,736362
1981,emigration,470525
1981,immigration,605629
1982,emigration,493495
1982,immigration,404019
1983,emigration,487268
1983,immigration,354496
1984,emigration,604832
1984,immigration,410387
1985,emigration,425313
1985,immigration,480872
1986,emigration,407139
1986,immigration,567215
1987,emigration,398518
1987,immigration,591765
1988,emigration,419439
1988,immigration,860578
1989,emigration,539832
1989,immigration,1133794
1990,emigration,574378
1990,immigration,1256250
1991,emigration,596455
1991,immigration,1198978
1992,emigration,720127
1992,immigration,1502198
1993,emigration,815312
1993,immigration,1277408
1994,emigration,767555
1994,immigration,1082553
1995,emigration,698113
1995,immigration,1096048
1996,emigration,677494
1996,immigration,959691
1997,emigration,746969
1997,immigration,840633
1998,emigration,755358
1998,immigration,802456
1999,emigration,672048
1999,immigration,874023
2000,emigration,674038
2000,immigration,841158
2001,emigration,606494
2001,immigration,879217
2002,emigration,623255
2002,immigration,842543
2003,emigration,626330
2003,immigration,768975
2004,emigration,697633
2004,immigration,780175
2005,emigration,628399
2005,immigration,707352
2006,emigration,639064
2006,immigration,661855
2007,emigration,636854
2007,immigration,680766
2008,emigration,737889
2008,immigration,682146
2009,emigration,733796
2009,immigration,721014
2010,emigration,670605
2010,immigration,798282
2011,emigration,678969
2011,immigration,958299
2012,emigration,711991
2012,immigration,1080936
2013,emigration,797886
2013,immigration,1226493
2014,emigration,914241
2014,immigration,1464724
2015,emigration,997552
2015,immigration,2136954
2016,emigration,1365178
2016,immigration,1865122
2017,emigration,1134641
2017,immigration,1550721
2018,emigration,1185432
2018,immigration,1585112
2019,emigration,1231552
2019,immigration,1558612
2020,emigration,966451
2020,immigration,1186702
2021,emigration,994303
2021,immigration,1323466
2022,emigration,1203683
2022,immigration,2665772
2023,emigration,1269545
2023,immigration,1932509
2024,emigration,1264009
2024,immigration,1694192
